iter	RMSE
0	3.01371473
1	2.971906686
2	2.930100125
3	2.892158117
4	2.856686246
5	2.819328017
6	2.781396007
7	2.750024853
8	2.717076764
9	2.68625434
10	2.654103224
11	2.626779337
12	2.60330033
13	2.581159792
14	2.55732604
15	2.534587072
16	2.513275452
17	2.494254271
18	2.471529147
19	2.451510778
20	2.432738096
21	2.414153341
22	2.400122788
23	2.381552602
24	2.365279253
25	2.348443183
26	2.333650855
27	2.320562479
28	2.309242301
29	2.297593239
30	2.28622409
31	2.275392333
32	2.264057746
33	2.252696577
34	2.241662091
35	2.232492524
36	2.223842554
37	2.215170215
38	2.207155341
39	2.196031269
40	2.186993986
41	2.179032731
42	2.171054924
43	2.163403587
44	2.157623861
45	2.150803498
46	2.143380291
47	2.135827706
48	2.129648769
49	2.12397538
50	2.119298575
51	2.113392561
52	2.10599242
53	2.101643001
54	2.096958245
55	2.091030992
56	2.087731425
57	2.08106725
58	2.074863106
59	2.070754847
60	2.065396082
61	2.06077169
62	2.057652211
63	2.054368655
64	2.049656664
65	2.045765822
66	2.042662124
67	2.03866899
68	2.034912257
69	2.031891554
70	2.028076566
71	2.023881663
72	2.020100155
73	2.016988614
74	2.01323305
75	2.010849044
76	2.005601317
77	2.000704289
78	1.998040273
79	1.993666631
80	1.989019375
81	1.985476852
82	1.978713644
83	1.976021428
84	1.972030434
85	1.967998267
86	1.966272559
87	1.963796148
88	1.960101335
89	1.957806086
90	1.956016618
91	1.953227962
92	1.951393826
93	1.946489977
94	1.942485907
95	1.940517858
96	1.939243606
97	1.934019864
98	1.931625675
99	1.930509584
100	1.928461513
101	1.924835055
102	1.921570922
103	1.918977469
104	1.916460513
105	1.914300135
106	1.912143858
107	1.9107084
108	1.908407382
109	1.906720479
110	1.904599878
111	1.901283147
112	1.897545232
113	1.895650613
114	1.894358345
115	1.892264661
116	1.889767263
117	1.887145004
118	1.88570352
119	1.880170061
120	1.878186562
121	1.87584584
122	1.874616003
123	1.872550132
124	1.870013493
125	1.86856393
126	1.868037058
127	1.866680059
128	1.864567986
129	1.863195699
130	1.861628777
131	1.860221431
132	1.857256216
133	1.854239811
134	1.852855361
135	1.851370022
136	1.849686773
137	1.847518695
138	1.846757268
139	1.846032018
140	1.844709009
141	1.843042529
142	1.841729375
143	1.839582773
144	1.836376638
145	1.835120327
146	1.833701648
147	1.831371369
148	1.827302289
149	1.826092588
150	1.824000133
151	1.820521617
152	1.819907851
153	1.818366672
154	1.816640116
155	1.815116506
156	1.811997375
157	1.808764006
158	1.808217454
159	1.807180036
160	1.806699642
161	1.805512268
162	1.804147856
163	1.802589999
164	1.80044021
165	1.798229809
166	1.797158812
167	1.795358509
168	1.79410695
169	1.793492966
170	1.792710142
171	1.790901515
172	1.78981345
173	1.789182
174	1.785424576
175	1.783986387
176	1.782891133
177	1.7820705
178	1.780873962
179	1.779588108
180	1.778428357
181	1.77785265
182	1.776417867
183	1.775129356
184	1.773882951
185	1.773209184
186	1.772305164
187	1.770227874
188	1.768356827
189	1.76742204
190	1.76513661
191	1.763823883
192	1.76272593
193	1.762484305
194	1.760268514
195	1.758693251
196	1.758264715
197	1.75421834
198	1.752748716
199	1.751437624
200	1.750296782
201	1.749004363
202	1.747624429
203	1.746348758
204	1.745407478
205	1.745022765
206	1.744106764
207	1.743293126
208	1.743143906
209	1.74163176
210	1.740347426
211	1.73817412
212	1.735373819
213	1.734053204
214	1.731379705
215	1.730007372
216	1.728974096
217	1.727442382
218	1.724047508
219	1.722651123
220	1.719072307
221	1.718028858
222	1.717252265
223	1.71623559
224	1.71538369
225	1.71438201
226	1.713285247
227	1.711650805
228	1.7090597
229	1.707995277
230	1.704101327
231	1.702489441
232	1.700968127
233	1.699454043
234	1.69572952
235	1.694261553
236	1.693298254
237	1.692147173
238	1.689809955
239	1.688311517
240	1.685270564
241	1.683747446
242	1.682326025
243	1.680656234
244	1.679202086
245	1.678199809
246	1.677507144
247	1.676218481
248	1.67511199
249	1.672906997
250	1.672577623
251	1.671971958
252	1.671542767
253	1.669966406
254	1.668473254
255	1.666634939
256	1.665573364
257	1.665155607
258	1.662477417
259	1.660008292
260	1.656789825
261	1.655277552
262	1.651959167
263	1.649718344
264	1.649437423
265	1.648521755
266	1.648154256
267	1.646958278
268	1.645699449
269	1.643124174
270	1.642460313
