iter	Passed	Remaining
0	165	248697
1	181	136007
2	199	99744
3	218	81729
4	236	70815
5	255	63700
6	275	58745
7	293	54774
8	312	51695
9	330	49303
10	349	47357
11	367	45609
12	387	44271
13	405	43073
14	424	42073
15	446	41385
16	465	40649
17	485	40011
18	506	39451
19	527	39018
20	548	38623
21	563	37837
22	583	37475
23	606	37284
24	635	37479
25	657	37258
26	679	37049
27	699	36788
28	721	36576
29	751	36830
30	772	36621
31	793	36414
32	815	36250
33	837	36096
34	858	35941
35	882	35904
36	905	35803
37	930	35786
38	951	35627
39	976	35657
40	999	35550
41	1026	35634
42	1067	36172
43	1092	36139
44	1119	36182
45	1150	36378
46	1177	36412
47	1204	36445
48	1234	36568
49	1263	36654
50	1286	36561
51	1312	36547
52	1334	36439
53	1355	36303
54	1377	36183
55	1397	36025
56	1419	35942
57	1443	35876
58	1465	35788
59	1487	35706
60	1513	35697
61	1536	35641
62	1557	35534
63	1579	35429
64	1602	35375
65	1624	35298
66	1649	35273
67	1670	35188
68	1692	35100
69	1714	35015
70	1733	34885
71	1752	34758
72	1774	34685
73	1796	34621
74	1819	34565
75	1838	34447
76	1859	34372
77	1880	34290
78	1902	34218
79	1924	34160
80	1947	34122
81	1974	34150
82	1994	34049
83	2015	33970
84	2037	33911
85	2058	33848
86	2080	33797
87	2102	33735
88	2124	33676
89	2146	33630
90	2169	33590
91	2189	33509
92	2212	33480
93	2233	33402
94	2253	33331
95	2273	33249
96	2295	33198
97	2315	33129
98	2337	33084
99	2361	33060
100	2385	33044
101	2410	33036
102	2432	32990
103	2465	33093
104	2495	33150
105	2527	33237
106	2551	33212
107	2575	33197
108	2597	33151
109	2620	33107
110	2641	33056
111	2666	33039
112	2691	33040
113	2715	33017
114	2740	33001
115	2761	32952
116	2785	32924
117	2805	32861
118	2824	32782
119	2844	32713
120	2863	32639
121	2883	32567
122	2903	32508
123	2922	32427
124	2941	32361
125	2961	32295
126	2982	32244
127	3001	32174
128	3022	32118
129	3041	32054
130	3062	32002
131	3083	31953
132	3104	31912
133	3127	31885
134	3147	31827
135	3168	31779
136	3189	31729
137	3210	31690
138	3233	31665
139	3256	31632
140	3280	31620
141	3302	31583
142	3329	31599
143	3365	31692
144	3390	31681
145	3414	31670
146	3441	31680
147	3468	31686
148	3497	31711
149	3526	31736
150	3552	31738
151	3580	31756
152	3608	31765
153	3633	31758
154	3660	31765
155	3684	31745
156	3712	31754
157	3740	31768
158	3762	31734
159	3790	31742
160	3817	31749
161	3840	31717
162	3865	31708
163	3895	31733
164	3921	31729
165	3948	31730
166	3978	31754
167	4001	31728
168	4034	31773
169	4057	31744
170	4083	31738
171	4106	31704
172	4127	31661
173	4150	31626
174	4173	31595
175	4194	31555
176	4216	31517
177	4238	31477
178	4260	31442
179	4282	31401
180	4305	31375
181	4328	31343
182	4351	31314
183	4372	31273
184	4392	31222
185	4414	31184
186	4439	31171
187	4461	31136
188	4483	31102
189	4504	31054
190	4524	31010
191	4546	30972
192	4570	30953
193	4577	30816
194	4597	30766
195	4619	30735
196	4631	30631
197	4651	30588
198	4673	30553
199	4695	30520
200	4716	30483
201	4745	30491
202	4768	30469
203	4789	30429
204	4811	30397
205	4835	30375
206	4859	30353
207	4878	30303
208	4886	30184
209	4908	30152
210	4930	30118
211	4952	30088
212	4974	30058
213	5000	30048
214	5033	30086
215	5063	30101
216	5093	30112
217	5124	30136
218	5158	30173
219	5197	30238
220	5225	30239
221	5255	30256
222	5285	30266
223	5310	30249
224	5339	30258
225	5369	30266
226	5401	30293
227	5432	30307
228	5458	30295
229	5483	30276
230	5508	30260
231	5532	30238
232	5559	30229
233	5583	30209
234	5605	30174
235	5628	30146
236	5652	30121
237	5678	30109
238	5701	30083
239	5724	30051
240	5747	30024
241	5773	30011
242	5800	30003
243	5825	29985
244	5849	29961
245	5871	29932
246	5896	29912
247	5920	29890
248	5942	29853
249	5965	29826
250	5989	29801
251	6012	29777
252	6034	29742
253	6057	29714
254	6080	29685
255	6103	29658
256	6127	29635
257	6151	29614
258	6176	29594
259	6200	29573
260	6221	29536
261	6245	29513
262	6269	29488
263	6293	29464
264	6316	29435
265	6337	29398
266	6361	29376
267	6383	29343
268	6404	29310
269	6427	29280
270	6449	29246
271	6471	29215
272	6492	29179
273	6515	29155
274	6545	29155
275	6570	29138
276	6591	29101
277	6613	29071
278	6635	29040
279	6658	29013
280	6683	28993
281	6705	28963
282	6726	28925
283	6749	28898
284	6771	28866
285	6794	28839
286	6816	28808
287	6838	28778
288	6860	28747
289	6884	28724
290	6905	28689
291	6926	28654
292	6947	28621
293	6970	28592
294	6989	28551
295	7009	28512
296	7030	28479
297	7051	28444
298	7070	28401
299	7090	28362
300	7111	28329
301	7133	28296
302	7156	28271
303	7177	28238
304	7196	28197
305	7217	28160
306	7236	28122
307	7257	28085
308	7278	28052
309	7298	28016
310	7317	27976
311	7338	27941
312	7360	27913
313	7383	27886
314	7404	27853
315	7424	27818
316	7447	27792
317	7468	27758
318	7488	27724
319	7507	27685
320	7530	27658
321	7550	27622
322	7571	27591
323	7591	27554
324	7610	27516
325	7630	27479
326	7650	27443
327	7672	27413
328	7691	27376
329	7713	27346
330	7735	27319
331	7756	27288
332	7777	27256
333	7797	27222
334	7817	27186
335	7837	27151
336	7860	27126
337	7880	27092
338	7901	27061
339	7921	27024
340	7939	26986
341	7959	26951
342	7979	26915
343	7998	26880
344	8018	26846
345	8039	26814
346	8063	26792
347	8083	26758
348	8102	26721
349	8123	26691
350	8144	26660
351	8164	26628
352	8183	26591
353	8203	26556
354	8223	26523
355	8245	26498
356	8267	26469
357	8287	26436
358	8307	26404
359	8328	26373
360	8349	26343
361	8369	26310
362	8389	26279
363	8412	26255
364	8433	26223
365	8452	26189
366	8472	26155
367	8493	26127
368	8514	26098
369	8534	26066
370	8555	26034
371	8574	26000
372	8593	25963
373	8613	25931
374	8633	25901
375	8654	25870
376	8673	25835
377	8692	25800
378	8711	25765
379	8733	25740
380	8753	25708
381	8771	25672
382	8789	25635
383	8808	25599
384	8827	25566
385	8846	25532
386	8864	25494
387	8883	25460
388	8901	25421
389	8919	25386
390	8937	25349
391	8955	25312
392	8973	25275
393	8991	25238
394	9009	25204
395	9027	25167
396	9047	25136
397	9065	25099
398	9083	25065
399	9101	25027
400	9120	24994
401	9139	24961
402	9157	24927
403	9177	24896
404	9196	24864
405	9215	24831
406	9234	24798
407	9253	24765
408	9272	24733
409	9290	24697
410	9309	24668
411	9329	24635
412	9348	24606
413	9367	24573
414	9387	24542
415	9405	24509
416	9425	24479
417	9445	24448
418	9464	24418
419	9483	24386
420	9504	24359
421	9522	24326
422	9541	24294
423	9560	24262
424	9578	24228
425	9597	24197
426	9615	24163
427	9633	24128
428	9651	24094
429	9669	24061
430	9686	24025
431	9704	23991
432	9722	23958
433	9740	23924
434	9758	23892
435	9775	23856
436	9793	23821
437	9810	23786
438	9827	23751
439	9845	23717
440	9861	23681
441	9879	23648
442	9897	23615
443	9915	23582
444	9933	23551
445	9950	23516
446	9968	23481
447	9985	23447
448	10002	23413
449	10019	23378
450	10037	23345
451	10054	23313
452	10072	23280
453	10090	23247
454	10107	23213
455	10125	23181
456	10142	23147
457	10160	23116
458	10180	23088
459	10199	23058
460	10217	23028
461	10234	22994
462	10251	22961
463	10269	22929
464	10287	22897
465	10305	22866
466	10322	22834
467	10340	22802
468	10359	22773
469	10377	22742
470	10396	22712
471	10414	22682
472	10432	22650
473	10449	22617
474	10467	22588
475	10485	22557
476	10503	22525
477	10519	22490
478	10537	22461
479	10555	22430
480	10573	22400
481	10591	22369
482	10609	22340
483	10628	22310
484	10646	22279
485	10664	22250
486	10684	22225
487	10702	22193
488	10719	22161
489	10735	22129
490	10753	22099
491	10770	22067
492	10787	22034
493	10806	22006
494	10825	21979
495	10843	21949
496	10861	21918
497	10879	21889
498	10895	21857
499	10912	21825
500	10930	21794
501	10947	21763
502	10963	21730
503	10978	21696
504	10994	21662
505	11011	21631
506	11028	21599
507	11045	21568
508	11063	21540
509	11081	21510
510	11099	21482
511	11117	21452
512	11134	21421
513	11152	21393
514	11170	21364
515	11187	21334
516	11204	21304
517	11222	21274
518	11238	21243
519	11256	21214
520	11274	21186
521	11295	21163
522	11316	21140
523	11337	21116
524	11358	21094
525	11380	21073
526	11402	21052
527	11421	21026
528	11441	21001
529	11463	20980
530	11485	20959
531	11509	20942
532	11532	20922
533	11553	20900
534	11574	20877
535	11596	20855
536	11615	20830
537	11636	20807
538	11656	20782
539	11676	20757
540	11696	20733
541	11715	20706
542	11734	20681
543	11753	20655
544	11773	20629
545	11790	20601
546	11809	20575
547	11829	20551
548	11848	20524
549	11868	20500
550	11888	20476
551	11908	20451
552	11927	20424
553	11946	20399
554	11966	20374
555	11985	20350
556	12005	20326
557	12023	20298
558	12042	20271
559	12060	20244
560	12079	20217
561	12099	20193
562	12119	20170
563	12138	20144
564	12157	20119
565	12176	20092
566	12195	20067
567	12213	20040
568	12234	20017
569	12252	19990
570	12271	19965
571	12290	19939
572	12308	19912
573	12327	19887
574	12345	19859
575	12363	19832
576	12381	19806
577	12400	19780
578	12418	19754
579	12436	19727
580	12455	19701
581	12473	19675
582	12493	19651
583	12514	19629
584	12534	19605
585	12553	19579
586	12571	19553
587	12589	19527
588	12608	19502
589	12627	19476
590	12645	19449
591	12664	19425
592	12683	19400
593	12703	19375
594	12721	19349
595	12739	19322
596	12760	19301
597	12780	19277
598	12799	19253
599	12818	19228
600	12836	19200
601	12853	19173
602	12871	19147
603	12891	19123
604	12911	19100
605	12931	19076
606	12950	19052
607	12969	19027
608	12989	19004
609	13011	18984
610	13032	18961
611	13051	18937
612	13071	18914
613	13091	18890
614	13111	18867
615	13129	18841
616	13150	18819
617	13169	18795
618	13187	18769
619	13206	18745
620	13224	18719
621	13243	18693
622	13261	18668
623	13279	18642
624	13299	18619
625	13319	18596
626	13341	18575
627	13360	18551
628	13381	18530
629	13403	18510
630	13423	18486
631	13445	18466
632	13466	18444
633	13488	18424
634	13513	18407
635	13535	18387
636	13559	18370
637	13581	18349
638	13603	18329
639	13624	18307
640	13645	18286
641	13669	18269
642	13690	18247
643	13715	18231
644	13738	18211
645	13760	18191
646	13781	18169
647	13805	18152
648	13825	18129
649	13844	18104
650	13863	18080
651	13882	18056
652	13904	18035
653	13924	18012
654	13944	17989
655	13963	17965
656	13981	17939
657	14000	17915
658	14019	17891
659	14038	17867
660	14056	17841
661	14077	17819
662	14097	17796
663	14115	17772
664	14134	17747
665	14153	17723
666	14174	17701
667	14194	17679
668	14213	17655
669	14233	17632
670	14252	17608
671	14273	17587
672	14293	17563
673	14311	17538
674	14329	17513
675	14348	17489
676	14367	17465
677	14385	17441
678	14405	17417
679	14426	17396
680	14448	17376
681	14470	17355
682	14490	17333
683	14511	17311
684	14532	17290
685	14553	17268
686	14572	17244
687	14591	17221
688	14611	17199
689	14631	17175
690	14649	17151
691	14668	17127
692	14689	17105
693	14708	17082
694	14757	17093
695	14776	17069
696	14795	17045
697	14815	17022
698	14835	17000
699	14854	16976
700	14875	16954
701	14894	16931
702	14925	16921
703	14955	16909
704	14974	16885
705	14991	16860
706	15010	16836
707	15030	16813
708	15047	16787
709	15067	16765
710	15085	16740
711	15103	16715
712	15120	16690
713	15139	16665
714	15157	16641
715	15174	16616
716	15192	16591
717	15210	16565
718	15228	16541
719	15247	16517
720	15266	16494
721	15286	16471
722	15305	16448
723	15324	16424
724	15343	16401
725	15363	16379
726	15383	16356
727	15405	16336
728	15425	16314
729	15444	16290
730	15462	16266
731	15484	16245
732	15503	16222
733	15523	16199
734	15541	16175
735	15560	16152
736	15580	16129
737	15599	16106
738	15619	16084
739	15638	16060
740	15655	16036
741	15676	16014
742	15696	15991
743	15713	15967
744	15731	15942
745	15749	15918
746	15767	15894
747	15787	15871
748	15805	15848
749	15823	15823
750	15841	15799
751	15859	15775
752	15877	15750
753	15897	15729
754	15916	15705
755	15934	15681
756	15953	15658
757	15971	15634
758	15991	15612
759	16010	15589
760	16031	15567
761	16050	15545
762	16069	15522
763	16089	15500
764	16107	15475
765	16125	15452
766	16144	15429
767	16164	15406
768	16182	15382
769	16199	15358
770	16218	15335
771	16236	15311
772	16254	15287
773	16271	15262
774	16289	15238
775	16308	15215
776	16327	15192
777	16345	15168
778	16365	15146
779	16385	15125
780	16405	15102
781	16422	15078
782	16443	15057
783	16462	15034
784	16481	15012
785	16503	14991
786	16523	14969
787	16541	14946
788	16560	14923
789	16579	14900
790	16598	14878
791	16618	14855
792	16635	14831
793	16653	14807
794	16670	14783
795	16688	14759
796	16716	14745
797	16734	14720
798	16750	14696
799	16767	14671
800	16787	14650
801	16806	14627
802	16824	14603
803	16843	14580
804	16860	14556
805	16880	14534
806	16899	14512
807	16915	14487
808	16933	14463
809	16949	14438
810	16966	14414
811	16985	14392
812	17004	14368
813	17022	14345
814	17040	14322
815	17059	14299
816	17077	14276
817	17095	14253
818	17113	14230
819	17131	14206
820	17149	14183
821	17166	14159
822	17184	14135
823	17202	14112
824	17219	14088
825	17235	14064
826	17253	14040
827	17271	14017
828	17289	13993
829	17308	13971
830	17325	13948
831	17342	13924
832	17360	13900
833	17380	13879
834	17400	13858
835	17419	13835
836	17438	13812
837	17457	13790
838	17476	13768
839	17494	13745
840	17513	13723
841	17533	13701
842	17551	13678
843	17569	13655
844	17587	13633
845	17605	13609
846	17623	13587
847	17643	13565
848	17661	13542
849	17681	13520
850	17699	13498
851	17718	13475
852	17738	13454
853	17757	13432
854	17775	13409
855	17795	13387
856	17815	13366
857	17835	13345
858	17855	13324
859	17875	13302
860	17894	13280
861	17913	13258
862	17931	13235
863	17949	13212
864	17967	13190
865	17987	13168
866	18005	13146
867	18023	13123
868	18040	13099
869	18059	13077
870	18076	13054
871	18094	13031
872	18112	13008
873	18129	12985
874	18147	12962
875	18165	12940
876	18183	12917
877	18200	12893
878	18218	12871
879	18235	12847
880	18254	12825
881	18271	12802
882	18286	12777
883	18302	12753
884	18319	12730
885	18336	12707
886	18355	12685
887	18375	12663
888	18392	12640
889	18410	12618
890	18427	12595
891	18444	12571
892	18461	12548
893	18477	12525
894	18495	12502
895	18513	12479
896	18531	12457
897	18549	12435
898	18567	12412
899	18585	12390
900	18603	12368
901	18621	12345
902	18638	12322
903	18656	12300
904	18675	12278
905	18692	12255
906	18711	12233
907	18729	12211
908	18746	12188
909	18764	12165
910	18781	12142
911	18798	12120
912	18816	12097
913	18834	12075
914	18851	12052
915	18870	12031
916	18887	12008
917	18906	11986
918	18924	11964
919	18941	11941
920	18959	11918
921	18976	11896
922	18995	11874
923	19014	11853
924	19033	11831
925	19051	11809
926	19070	11787
927	19088	11765
928	19105	11742
929	19122	11720
930	19141	11698
931	19158	11675
932	19175	11653
933	19196	11632
934	19216	11612
935	19235	11590
936	19254	11569
937	19273	11547
938	19294	11527
939	19312	11505
940	19331	11484
941	19350	11462
942	19369	11440
943	19388	11419
944	19407	11398
945	19428	11377
946	19450	11357
947	19470	11337
948	19490	11316
949	19511	11295
950	19534	11277
951	19556	11257
952	19576	11236
953	19595	11214
954	19614	11193
955	19634	11172
956	19653	11151
957	19674	11131
958	19693	11109
959	19713	11088
960	19733	11068
961	19752	11046
962	19771	11025
963	19791	11004
964	19809	10982
965	19827	10960
966	19846	10939
967	19865	10917
